način,ID,Kanal 1 Povprečje delovanja,Kanal 1 Odklon od povprečja delovanja,Column1,Kanal 1 Vrh
nosnos,1354,3.53684931506849,0.621889660349033,0.17583153958511,10.9
ustpripora,1354,2.24351351351351,0.58254200146092,0.259656114372414,5.4
ššš,1354,2.15718120805369,0.503343993513806,0.233334126792225,6.3
sss,1354,2.52436241610738,0.496310976983019,0.196608448064419,5.3
popek,1354,13.9644370860927,2.62166922503399,0.187738983596047,55.0
pas,1354,10.5319205298013,3.15819832463489,0.299869175398579,75.0
nosnos,1212,3.54304635761589,0.708646989167142,0.200010645540633,7.65
ustpripora,1212,2.54777027027027,0.570832724616509,0.224051882258581,8.1
ššš,1212,2.2845945945946,0.641859021183345,0.280950949766755,11.1
sss,1212,1.05455782312925,0.406139108704706,0.385127396333324,5.6
popek,1212,2.67,1.16450704225352,0.436144959645514,34.0
pas,1212,2.07902777777778,0.650603780864198,0.31293655035221,36.0
nosnos,4030,2.58698630136986,1.34182961155939,0.51868446726945,39.1
ustpripora,4030,2.40760273972603,1.21566428973541,0.504927274619128,23.0
ššš,4030,2.01202797202797,1.25400264071593,0.623253085021471,11.1
sss,4030,1.76465753424657,1.12069806717958,0.635079637510554,11.0
popek,4030,3.09926666666667,2.12290488888889,0.684970064603096,95.0
pas,4030,3.61787671232877,1.47562206793019,0.407869638813745,72.0
nosnos,7356,5.20972602739726,4.48147870144492,0.860213891839498,39.0
ustpripora,7356,5.29322147651007,4.44559164001622,0.839865034883688,37.0
ššš,7356,4.32123287671233,3.23856821167198,0.749454682048042,36.0
sss,7356,4.149375,3.04447048611111,0.733717845726431,28.0
popek,7356,3.99164383561644,3.16039782323138,0.791753461326368,33.0
pas,7356,5.70837837837838,3.31150840029218,0.580113682168509,36.0
nosnos,7904,6.80283783783784,1.49316289262235,0.219491178272291,31.0
ustpripora,7904,4.71089041095891,1.24502158003378,0.264285829519085,19.28
ššš,7904,5.30469798657718,1.36597630737354,0.257503124745265,15.9
sss,7904,5.11463087248322,1.12226836628981,0.219423140060336,19.6
popek,7904,7.895,2.53835616438356,0.321514397008684,52.0
pas,7904,3.09608108108108,1.23574506939372,0.399132011414321,22.1
nosnos,9904,2.7202027027027,1.35207450693937,0.49704917416485,13.4
ustpripora,9904,2.47431506849315,1.5871495590167,0.641450063990141,27.7
ššš,9904,2.10216216216216,1.37885317750183,0.655921413828331,13.5
sss,9904,2.02402684563758,1.27837845142111,0.631601529483868,14.1
popek,9904,7.49570469798658,2.22232782307103,0.29648017266048,104.0
pas,9904,6.67125874125874,1.99866399334931,0.299593235829465,27.0
nosnos,3927,3.50965753424658,3.22726871833365,0.919539495475717,25.0
ustpripora,3927,4.55506849315069,3.28209607806343,0.720537151746151,26.0
ššš,3927,4.73953333333334,3.23088444444445,0.681688304990177,30.0
sss,3927,4.31864864864865,3.19755661066472,0.740406750075691,26.0
popek,3927,5.14842465753424,2.79630699943704,0.543138374443317,26.0
pas,3927,3.84967105263158,2.9556648199446,0.767770747041919,25.0
nosnos,804,3.00533783783784,2.21355642804967,0.736541629423663,20.2
ustpripora,804,2.75424657534247,2.06899793582286,0.751202871357149,20.3
ššš,804,3.74287671232877,2.79619253143179,0.747070434412475,24.0
sss,804,2.99103448275862,2.58645422116528,0.864735674588346,17.4
popek,804,3.03806896551724,2.31150439952438,0.760846585696528,57.1
pas,804,2.93294520547945,2.2162591480578,0.755642875263162,96.0
nosnos,3531,8.74405405405406,1.95868517165815,0.224001951446083,24.9
ustpripora,3531,3.40767123287671,1.59149934321636,0.467034298338939,14.7
ššš,3531,7.29582191780822,2.31638018389942,0.317494068522343,26.0
sss,3531,4.26614864864865,1.69170836376917,0.396542292145643,17.7
popek,3531,3.59645833333333,2.18239293981482,0.606817245618439,23.0
pas,3531,2.72546666666667,1.90436977777778,0.698731634134012,16.2
nosnos,8245,3.76109589041096,1.77576468380559,0.472140231343999,34.2
ustpripora,8245,2.95174496644295,1.4471167965407,0.490258072086955,12.2
ššš,8245,2.78748344370861,1.64683127932985,0.590794999355701,14.1
sss,8245,2.92349315068493,1.80608556952524,0.617783410610044,17.7
popek,8245,3.8526,1.61673066666667,0.419646645555382,114.0
pas,8245,2.88530612244898,1.72459530751076,0.597716579912485,123.0
nosnos,5426,3.40081081081081,1.51948867786706,0.446801884137972,13.4
ustpripora,5426,3.06513698630137,1.35167198348658,0.440982569303571,13.2
ššš,5426,2.78979166666667,1.25597800925926,0.450204946937827,15.0
sss,5426,2.28746575342466,1.07080972039782,0.468120547288925,11.1
popek,5426,6.94614864864865,1.76608564645727,0.254253937799165,32.0
pas,5426,3.30513698630137,1.30982454494277,0.39629962400092,58.5
nosnos,6493,6.31601351351351,2.27366508400292,0.35998420192393,34.0
ustpripora,6493,1.5358389261745,1.28415927210486,0.836128874076315,17.0
ššš,6493,12.5773648648649,2.88818937180423,0.229633902080113,89.0
sss,6493,3.30646666666666,1.61751644444444,0.489197868150628,75.0
